userID,QuestionID,Choice,Trust,Interaction,Decision
8920bb20-f1f4-4690-8573-efc021456df9,23,SomeChoice,5,SomeInteraction,Apple
8920bb20-f1f4-4690-8573-efc021456df9,5,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,1,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,22,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,25,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,34,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,19,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,26,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,38,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,16,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,35,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,32,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,17,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,37,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,3,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,9,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,4,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,13,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,36,SomeChoice,SomeTrust,SomeInteraction,
8920bb20-f1f4-4690-8573-efc021456df9,18,SomeChoice,SomeTrust,SomeInteraction,
